file,n6_score,unique_n6_constants,keyword_hits,top_matches,suggested_grade
H-DNA-031-060-dna-folding.md,407,15,63,1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PHYS-CALABI-YAU-N6.md,383,10,101,J2-tau=20; J2=24; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ASTRO-001-015-astronomy.md,378,15,93,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-061-090-folding-extreme.md,374,15,46,1/(sigma-phi)=0.1; J2-tau=20; J2=24; n=6; phi/tau=0.5; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-BOTT-PERIODICITY-P6.md,372,10,73,J2-tau=20; n=6; phi^n=64; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-478-drift-dynamics.md,361,7,94,J2-tau=20; n=6; sigma*sopfr=60; sigma*tau=48; sigma-phi=10; sigma=12; sopfr=5,STRONG_CANDIDATE
407-galois-finite-fields-n6.md,359,14,76,J2-tau=20; J2=24; n=6; phi^n=64; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-DNA-001-030-nucleic-acids.md,358,12,71,J2-tau=20; J2=24; n=6; phi/tau=0.5; phi^n=64; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CHEM-031-050-carbon-deep.md,352,9,90,J2-tau=20; n=6; phi/tau=0.5; sigma*tau=48; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ELEC-001-020-neurostim-n6-framework.md,350,15,57,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PHYS-FEYNMAN-SM-N6.md,335,11,75,J2-tau=20; J2=24; n=6; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
390-obang-pentagonal-numbers.md,331,8,38,n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CHEM-111-130-thermo-deep.md,313,16,65,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ECON-001-015-economics.md,302,18,69,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
PMATH-GRAND-UNIFICATION-n6.md,289,13,76,1/e=0.368; J2-tau=20; J2=24; n=6; phi/tau=0.5; sigma*n=72; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
PHYS-CONNES-NCG-N6.md,277,12,56,J2-tau=20; J2=24; n=6; phi^n=64; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
408-operator-algebras-n6.md,277,9,95,1/(sigma-phi)=0.1; n=6; phi/tau=0.5; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DSE-002-n6-os-linux-comparison.md,275,13,60,1/(sigma-phi)=0.1; J2-tau=20; J2=24; n=6; phi^n=64; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
HCP-001-close-packing.md,275,10,70,16/27_Betz; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-RAMSEY-N6.md,274,9,70,J2=24; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
BRIDGE-001-prime-root-unification.md,270,13,52,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-PLATONIC-SOLIDS-N6.md,270,13,49,J2-tau=20; J2=24; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
NOBEL-P1-universality-exponents.md,267,12,78,1/(sigma-phi)=0.1; 1/e=0.368; 16/27_Betz; J2=24; ln(4/3)=0.288; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
409-game-theory-divisor-voting.md,252,7,75,16/27_Betz; n=6; sigma*(sigma-phi)=120; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
BRIDGE-003-n-minus-2-equals-tau.md,245,11,74,J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-PASCAL-PERFECT.md,241,12,42,J2-tau=20; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-RIEMANN-ZETA-N6.md,237,12,36,1/(sigma-phi)=0.1; J2-tau=20; n=6; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PHYS-THERMODYNAMICS-N6.md,237,8,76,16/27_Betz; J2-tau=20; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
CONFLUENCE-theorem-why-six.md,234,14,31,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
BREAKTHROUGH-kissing-root-systems.md,233,13,58,J2-tau=20; J2=24; n=6; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CHEM-cross-analysis.md,229,13,45,J2-tau=20; J2=24; n=6; sigma*n=72; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-HAIR-001-050-hair-loss-n6.md,227,14,31,J2-tau=20; J2=24; n=6; phi/tau=0.5; sigma*(sigma-phi)=120; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CHEM-131-145-pharma-deep.md,226,12,40,1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
089-beyond-one.md,223,11,65,1/e=0.368; J2-tau=20; n=6; phi/tau=0.5; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5; tau^2/sigma=4/3,STRONG_CANDIDATE
PHYS-GW-QUADRUPOLE-P6.md,219,10,51,J2-tau=20; ln(4/3)=0.288; n=6; phi^n=64; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
CRYPTO-001-hexagonal-lattice-A2.md,217,8,50,J2-tau=20; J2=24; n=6; sigma+mu=13; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
NETWORK-001-K6-spectral.md,216,8,38,J2-tau=20; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ECO-001-015-ecology.md,214,13,44,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma/sigma-phi=1.2; sigma=12; sopfr=5,STRONG_CANDIDATE
H-LING-001-015-linguistics.md,207,12,43,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-UD-1-music-just-intonation.md,205,5,67,n=6; sigma+mu=13; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
NAVSTOKES-001-stress-tensor.md,203,5,56,n=6; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sopfr=5,STRONG_CANDIDATE
389-obang-A5-unsolvability.md,201,12,16,J2-tau=20; J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-SPORADIC-GROUPS-perfect.md,199,10,27,J2-tau=20; J2=24; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-156-perfect-number-element-chain.md,199,4,68,n=6; sigma-sopfr=7; sigma=12; sopfr=5,MODERATE
CONFLUENCE-deep-three-discoveries.md,198,13,9,J2-tau=20; J2=24; n=6; sigma*(sigma-phi)=120; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SPORT-001-020-biomechanics.md,197,10,29,J2-tau=20; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
MUSIC-001-twelve-tone-consonance.md,196,8,39,J2=24; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-UD-2-dna-genetic-code.md,195,8,52,J2-tau=20; J2=24; n=6; phi^n=64; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-SIM-1-physical-constants-compile-time.md,192,12,52,1/(sigma-phi)=0.1; 1/e=0.368; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*n=72; sigma+mu=13; sigma-mu=11; sigma-sopfr=7; sigma=12; sigma^2=144; sopfr=5,STRONG_CANDIDATE
H-ROB-7-twelve-joints-humanoid.md,190,8,48,16/27_Betz; J2-tau=20; J2=24; n=6; sigma*sopfr=60; sigma-sopfr=7; sigma-tau=8; sigma=12,STRONG_CANDIDATE
RIEMANN-CURV-001-curvature-denominator.md,189,8,34,J2-tau=20; n=6; sigma*n=72; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-UD-7-perfect-codes-tiling.md,187,6,58,n=6; sigma-mu=11; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
EM-001-electromagnetic-tensor.md,183,7,47,J2-tau=20; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-490-knot-count-self-ref.md,174,10,26,1/(sigma-phi)=0.1; ln(4/3)=0.288; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
BRAID-001-braid-group-B6.md,169,6,52,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-HAIR-181-240-microelectrode.md,167,13,4,1/(sigma-phi)=0.1; 1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma*sopfr=60; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
FUNCAL-001-divisor-lattice-spectrum.md,163,7,52,1/e=0.368; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
377-obang-perfect-number-mapping.md,160,6,44,n=6; sigma*n=72; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
H-EH-001-025-event-horizon.md,158,13,34,1/e=0.368; J2-tau=20; J2=24; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ARCH-industry-patterns.md,155,13,39,J2-tau=20; J2=24; n=6; phi^n=64; sigma*sopfr=60; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-DNA-601-n28-project.md,155,11,32,J2-tau=20; J2=24; n=6; sigma*tau=48; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
385-obang-brainwave-bands.md,150,9,13,J2-tau=20; n=6; phi/tau=0.5; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-UD-5-ising-critical-exponents.md,150,4,53,n=6; sigma-tau=8; sigma=12; sopfr=5,MODERATE
H-CX-444-k6-neural-architecture.md,148,9,25,J2=24; n=6; phi^n=64; sigma*(sigma-phi)=120; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-ROB-8-four-legs-optimal.md,147,11,27,1/(sigma-phi)=0.1; 16/27_Betz; ln(4/3)=0.288; n=6; phi/tau=0.5; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-436-recursion-depth-sigma-inv.md,145,4,41,n=6; sigma-sopfr=7; sigma-tau=8; sopfr=5,MODERATE
PHYS-SELF-REFERENTIAL-LOOP-physics.md,144,7,28,n=6; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
DFS-composition-sopfr-phi-omega.md,142,10,41,J2-tau=20; J2=24; n=6; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-489-trefoil-knot.md,139,8,37,ln(4/3)=0.288; n=6; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-434-phoneme-perfect-number.md,139,6,34,n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
BREAKTHROUGH-SLE6-virasoro.md,132,8,19,J2=24; n=6; sigma*(sigma-phi)=120; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-HAIR-051-100-deep-mechanisms.md,129,9,22,n=6; phi^n=64; sigma*n=72; sigma*sopfr=60; sigma+mu=13; sigma-phi=10; sigma-sopfr=7; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-THETA-PERFECT-pattern.md,124,12,33,1/(sigma-phi)=0.1; J2-tau=20; J2=24; n=6; phi^n=64; sigma+mu=13; sigma-mu=11; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
PMATH-SO32-THETA-anomaly.md,122,7,37,1/(sigma-phi)=0.1; n=6; sigma-phi=10; sigma-sopfr=7; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
H-CX-491-baryon-photon.md,120,6,20,J2-tau=20; n=6; sigma-phi=10; sigma-tau=8; sigma=12; sopfr=5,STRONG_CANDIDATE
